Station_A,Station_B,Capacity,Service
Casa Branca,Monte das Flores,8,STANDARD
Monte das Flores,Évora,8,STANDARD
Évora,Portalegre,10,STANDARD
Funcheira,Santa Clara-Sabóia,4,ALFA PENDULAR
Alferrarede,Mouriscas,6,STANDARD
Mouriscas,Mouriscas-A,6,STANDARD
Mouriscas-A,Alvega-Ortiga,2,STANDARD
Alvega-Ortiga,Barragem de Belver,2,STANDARD
Barragem de Belver,Belver,6,STANDARD
Belver,Barca da Amieira -Envendos,6,STANDARD
Barca da Amieira -Envendos,Fratel,6,STANDARD
Fratel,Ródão,4,STANDARD
Ródão,Tojeirinha,2,STANDARD
Tojeirinha,Sarnadas,4,STANDARD
Sarnadas,Retaxo,2,STANDARD
Retaxo,Benquerenças,2,STANDARD
Benquerenças,Alcains,10,STANDARD
Alcains,Lardosa,10,STANDARD
Lardosa,Soalheira,2,STANDARD
Soalheira,Castelo Novo,4,STANDARD
Castelo Novo,Alpedrinha,2,STANDARD
Alpedrinha,Vale de Prazeres,4,STANDARD
Vale de Prazeres,Fatela-Penamacor,2,STANDARD
Fatela-Penamacor,Alcaide,2,STANDARD
Alcaide,Donas,2,STANDARD
Donas,Fundão,4,STANDARD
Fundão,Alcaria,2,STANDARD
Alcaria,Tortosendo,6,STANDARD
Tortosendo,Covilhã,4,STANDARD
Covilhã,Caria,2,STANDARD
Caria,Belmonte-Manteigas,4,STANDARD
Belmonte-Manteigas,Maçainhas,2,STANDARD
Maçainhas,Benespera,2,STANDARD
Benespera,Barracão-Sabugal,2,STANDARD
Lisboa Santa Apolónia,Braço de Prata,10,STANDARD
Braço de Prata,Sacavém,2,STANDARD
Sacavém,Bobadela,2,STANDARD
Bobadela,Santa Iria,2,STANDARD
Santa Iria,Póvoa,2,STANDARD
Póvoa,Alhandra,4,STANDARD
Alhandra,Vila Franca de Xira,2,STANDARD
Vila Franca de Xira,Castanheira do Ribatejo,4,STANDARD
Castanheira do Ribatejo,Carregado,2,STANDARD
Carregado,Carregado Norte,4,STANDARD
Carregado Norte,Vila Nova da Raínha,2,STANDARD
Vila Nova da Raínha,Espadanal da Azambuja,2,STANDARD
Espadanal da Azambuja,Virtudes,2,STANDARD
Virtudes,Reguengo - Vale da Pedra - Pontével,2,STANDARD
Reguengo - Vale da Pedra - Pontével,Santana Cartaxo,2,STANDARD
Santana Cartaxo,Santana Cartaxo Resguardo,4,STANDARD
Santana Cartaxo Resguardo,Vale de Santarém,2,STANDARD
